n_mels,groups,epoch,train_loss,val_acc,epoch_time
20,1,1,0.2244,0.9699,10.58
20,1,2,0.1192,0.7345,12.61
20,1,3,0.0850,0.9755,9.88
20,1,4,0.0678,0.9736,12.46
20,1,5,0.0574,0.9831,12.37
20,1,6,0.0512,0.9623,10.07
20,1,7,0.0428,0.9699,12.46
20,1,8,0.0384,0.9793,10.02
20,1,9,0.0336,0.9718,12.34
20,1,10,0.0481,0.9284,12.26
20,1,11,0.0365,0.9736,10.35
20,1,12,0.0381,0.9793,12.60
20,1,13,0.0293,0.9868,9.89
20,1,14,0.0353,0.9831,12.32
20,1,15,0.0289,0.9774,12.14
40,1,1,0.2467,0.9642,12.43
40,1,2,0.1254,0.9435,11.99
40,1,3,0.0935,0.9642,12.06
40,1,4,0.0700,0.9153,6.01
40,1,5,0.0768,0.9736,10.27
40,1,6,0.0575,0.9793,11.71
40,1,7,0.0502,0.9812,12.97
40,1,8,0.0429,0.9397,12.12
40,1,9,0.0452,0.7778,12.17
40,1,10,0.0581,0.9831,9.35
40,1,11,0.0447,0.9454,12.29
40,1,12,0.0499,0.9812,10.20
40,1,13,0.0386,0.9812,12.23
40,1,14,0.0582,0.9793,12.12
40,1,15,0.0358,0.9831,12.40
80,1,1,0.2325,0.6478,8.23
80,1,2,0.1130,0.6328,11.05
80,1,3,0.0791,0.5179,11.99
80,1,4,0.0643,0.9510,11.23
80,1,5,0.0575,0.9774,12.10
80,1,6,0.0591,0.9680,12.05
80,1,7,0.0499,0.9774,11.41
80,1,8,0.0527,0.9209,8.05
80,1,9,0.0445,0.9812,11.31
80,1,10,0.0579,0.9812,12.04
80,1,11,0.0421,0.9718,10.96
80,1,12,0.0423,0.7137,12.02
80,1,13,0.0435,0.9397,9.51
80,1,14,0.0363,0.9812,12.10
80,1,15,0.0323,0.9793,11.98
80,2,1,0.2945,0.8550,12.26
80,2,2,0.1435,0.6234,9.76
80,2,3,0.1110,0.7759,12.23
80,2,4,0.0836,0.9341,12.17
80,2,5,0.0813,0.9492,9.74
80,2,6,0.0666,0.9153,12.16
80,2,7,0.0639,0.9699,12.28
80,2,8,0.0574,0.9040,9.80
80,2,9,0.0633,0.9680,12.21
80,2,10,0.0500,0.8682,9.74
80,2,11,0.0491,0.9322,12.54
80,2,12,0.0432,0.9718,12.18
80,2,13,0.0379,0.9623,9.78
80,2,14,0.0429,0.9718,12.19
80,2,15,0.0422,0.9567,9.71
80,4,1,0.4136,0.9341,12.23
80,4,2,0.2168,0.7232,12.16
80,4,3,0.1572,0.9322,9.60
80,4,4,0.1341,0.9454,12.15
80,4,5,0.1079,0.9510,12.16
80,4,6,0.1081,0.5593,9.59
80,4,7,0.0947,0.7872,12.36
80,4,8,0.0875,0.9435,10.66
80,4,9,0.0760,0.9623,13.45
80,4,10,0.0750,0.8663,13.24
80,4,11,0.0757,0.9021,10.33
80,4,12,0.0722,0.6008,12.15
80,4,13,0.0616,0.9680,9.58
80,4,14,0.0595,0.9529,12.18
80,4,15,0.0588,0.7156,12.31
80,8,1,0.4404,0.5687,9.69
80,8,2,0.2698,0.9171,12.16
80,8,3,0.2077,0.8550,9.74
80,8,4,0.1843,0.9454,12.32
80,8,5,0.1581,0.9642,12.16
80,8,6,0.1543,0.9473,9.68
80,8,7,0.1329,0.9397,12.25
80,8,8,0.1241,0.9529,12.03
80,8,9,0.1130,0.9605,9.62
80,8,10,0.1055,0.9360,12.06
80,8,11,0.0984,0.9567,9.63
80,8,12,0.0932,0.9586,12.17
80,8,13,0.0923,0.9303,12.07
80,8,14,0.0823,0.9661,12.09
80,8,15,0.0736,0.9680,12.13
80,16,1,0.5459,0.8814,12.03
80,16,2,0.3566,0.9228,6.48
80,16,3,0.2860,0.9134,10.40
80,16,4,0.2614,0.9284,10.96
80,16,5,0.2322,0.9266,12.77
80,16,6,0.2164,0.9567,12.21
80,16,7,0.2006,0.9661,9.60
80,16,8,0.1913,0.9661,11.64
80,16,9,0.1703,0.9699,12.24
80,16,10,0.1594,0.9699,10.19
80,16,11,0.1586,0.9605,12.17
80,16,12,0.1502,0.9623,12.10
80,16,13,0.1459,0.9699,9.61
80,16,14,0.1409,0.9718,12.09
80,16,15,0.1331,0.9605,9.63
